Filename,x1,x2,x3,x4,y1,y2,y3,y4
135258724_20204142_Feet_L_S_0_Full_BlackSphere_crop.pdf,96,238,243,116,218,230,99,96
135258724_20204142_Feet_L_S_1_Full_BlackSphere_crop.pdf,60,86,221,199,215,91,112,236
135258724_20204142_Feet_L_S_2_Full_BlackSphere_crop.pdf,197,223,104,57,226,93,68,166
135258724_20204142_Feet_L_S_3_Full_BlackSphere_crop.pdf,36,80,217,166,162,38,105,209
135258724_20204142_Feet_R_S_0_Full_BlackSphere_crop.pdf,82,202,190,54,216,181,93,102
135258724_20204142_Feet_R_S_1_Full_BlackSphere_crop.pdf,43,51,145,183,173,66,207,74
135258724_20204142_Feet_R_S_2_Full_BlackSphere_crop.pdf,193,187,55,57,74,189,180,77
135258724_20204142_Feet_R_S_3_Full_BlackSphere_crop.pdf,66,62,202,196,172,66,80,171
161568408_20203771_Feet_L_S_0_Full_BlackSphere_crop.pdf,157,62,86,225,224,176,62,99
161568408_20203771_Feet_L_S_1_Full_BlackSphere_crop.pdf,154,197,77,39,229,111,63,183
161568408_20203771_Feet_L_S_2_Full_BlackSphere_crop.pdf,155,200,57,35,216,103,66,171
161568408_20203771_Feet_L_S_3_Full_BlackSphere_crop.pdf,51,90,221,192,179,74,127,227
161568408_20203771_Feet_R_S_0_Full_BlackSphere_crop.pdf,93,46,183,197,205,111,60,161
161568408_20203771_Feet_R_S_1_Full_BlackSphere_crop.pdf,195,168,47,65,170,75,106,198
161568408_20203771_Feet_R_S_2_Full_BlackSphere_crop.pdf,66,47,172,183,185,69,61,149
161568408_20203771_Feet_R_S_3_Full_BlackSphere_crop.pdf,188,168,47,62,160,60,75,184
403773045_20202299_Feet_L_S_0_Full_BlackSphere_crop.pdf,174,215,71,55,214,100,66,167
403773045_20202299_Feet_L_S_1_Full_BlackSphere_crop.pdf,36,60,182,164,175,81,88,210
403773045_20202299_Feet_L_S_2_Full_BlackSphere_crop.pdf,166,193,66,45,196,83,55,171
403773045_20202299_Feet_L_S_3_Full_BlackSphere_crop.pdf,41,66,187,172,167,54,85,187
403773045_20202299_Feet_R_S_0_Full_BlackSphere_crop.pdf,208,221,64,76,216,91,203,82
403773045_20202299_Feet_R_S_1_Full_BlackSphere_crop.pdf,69,76,225,209,201,72,95,211
403773045_20202299_Feet_R_S_2_Full_BlackSphere_crop.pdf,197,199,51,52,205,86,88,210
403773045_20202299_Feet_R_S_3_Full_BlackSphere_crop.pdf,212,211,72,55,194,87,81,196
281628421_20204142_Feet_L_S_0_Full_BlackSphere_crop.pdf,29,44,171,144,168,64,89,190
281628421_20204142_Feet_L_S_1_Full_BlackSphere_crop.pdf,154,186,67,39,186,81,47,151
